,Zip_Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
40,11542,0.159183673,0.095541401,0.086131387,0.091644205,0.122071517,0.290509259,0.322340426,0.340466926,0.360873694,0.400359066,0.415750916,0.425321464,0.414945919,0.423036649,0.442675159,0.461706783
41,11545,0.124137931,0.074626866,0.080684597,0.086247086,0.107066381,0.158695652,0.181818182,0.19391635,0.202146691,0.269724771,0.310536044,0.316831683,0.333333333,0.274336283,0.286026201,0.257575758
42,11547,0.15,0.166666667,0.081081081,0.033333333,0,0.090909091,0.146341463,0.177777778,0.25,0.28,0.4,0.209302326,0.294117647,0.263157895,0.461538462,0.421052632
43,11548,0.0625,0.133333333,0.214285714,0.085106383,0.206896552,0.287878788,0.279411765,0.318181818,0.328571429,0.271186441,0.345454545,0.319148936,0.409090909,0.318181818,0.244444444,0.288888889
44,11549,0.2,0,0,0,0.178571429,0.266666667,0.666666667,0.7,1.25,1.5,1,0.666666667,0.5,1,1,1
45,11550,0.255043228,0.207979626,0.183710961,0.224415584,0.304327152,0.38195357,0.478398732,0.600532623,0.66447565,0.684740078,0.70781457,0.729588015,0.728219456,0.726030863,0.737636648,0.752440347
46,11551,0.333333333,0,0,0,0,0.2,0.25,0.5,0.666666667,0.75,0.333333333,0.333333333,0.142857143,0.25,0.285714286,0.666666667
47,11552,0.191729323,0.128772636,0.101214575,0.131221719,0.173728814,0.214851485,0.254742547,0.323627288,0.364315353,0.379111842,0.404643449,0.436161097,0.442523768,0.418149466,0.374211001,0.372958258
48,11553,0.29903537,0.235294118,0.193384224,0.217791411,0.295748614,0.372053872,0.468531469,0.569454043,0.601290323,0.639844257,0.665821179,0.684145589,0.66163522,0.669390321,0.704590818,0.694594595
49,11554,0.200557103,0.128881988,0.117773019,0.127516779,0.170902717,0.232484076,0.232389252,0.279341112,0.304376658,0.324516129,0.371727749,0.405797101,0.382608696,0.34270415,0.373525557,0.367038739
50,11555,0,0,0,0,0,0,0,0,1,0.5,1,0,0,0,0,1
51,11556,1,1,1,0.2,0.285714286,0.125,0.125,0.285714286,0.333333333,0.111111111,0.333333333,0.5,0.3,0.25,0.285714286,0.5
52,11557,0.214285714,0.11,0.084870849,0.087662338,0.123867069,0.152173913,0.229357798,0.252747253,0.303854875,0.3125,0.345238095,0.361650485,0.355091384,0.323759791,0.323607427,0.324468085
53,11558,0.238095238,0.153374233,0.093137255,0.089494163,0.129554656,0.150537634,0.211678832,0.255319149,0.259016393,0.233552632,0.351515152,0.457227139,0.430463576,0.407692308,0.408695652,0.354166667
54,11559,0.076271186,0.050761421,0.036363636,0.051204819,0.038674033,0.064690027,0.100719424,0.156177156,0.236842105,0.247881356,0.271367521,0.302540416,0.38952164,0.362997658,0.317848411,0.316883117
55,11560,0.13559322,0.036764706,0.034146341,0.068548387,0.069498069,0.196,0.246527778,0.239130435,0.26369863,0.301754386,0.272727273,0.340501792,0.316498316,0.332142857,0.314606742,0.352941176
56,11561,0.228346457,0.145339652,0.104018913,0.084401709,0.087389381,0.104026846,0.187692308,0.236037935,0.249252243,0.262,0.28057554,0.306818182,0.276290631,0.246659815,0.259685864,0.275119617
57,11563,0.223484848,0.153498871,0.120338983,0.12749616,0.160220994,0.18469657,0.19716647,0.24103139,0.313163482,0.345338983,0.380327869,0.409457901,0.416859122,0.369690011,0.371559633,0.394475138
58,11565,0.24,0.104938272,0.093495935,0.148550725,0.161716172,0.164086687,0.177966102,0.247058824,0.258064516,0.312684366,0.384164223,0.43943662,0.419753086,0.375404531,0.353135314,0.299674267
59,11566,0.132653061,0.076502732,0.059821429,0.045977011,0.084415584,0.138429752,0.146153846,0.173184358,0.198895028,0.201393287,0.261889251,0.287972509,0.296627667,0.267759563,0.286490156,0.269966997
60,11568,0.083333333,0.071428571,0.020618557,0.045112782,0.153333333,0.232876712,0.2,0.22875817,0.312101911,0.295180723,0.337209302,0.343949045,0.331210191,0.298611111,0.278571429,0.31884058
61,11569,0.142857143,0.096774194,0.085106383,0.053571429,0.036363636,0.084745763,0.123076923,0.13559322,0.2,0.178571429,0.226415094,0.127659574,0.08,0.088888889,0.145833333,0.195121951
62,11570,0.184357542,0.124233129,0.075138122,0.086278586,0.114803625,0.140334572,0.154103853,0.21496063,0.272520818,0.284758364,0.343773304,0.402078337,0.385057471,0.317073171,0.317447496,0.329661017
63,11571,0,0,0,0,0.5,0.5,0.666666667,0.25,0,0,0,0,0,0,0.166666667,0.4
64,11572,0.183381089,0.106844741,0.078014184,0.079957356,0.116666667,0.15610652,0.172328086,0.201196709,0.268257411,0.275761974,0.310722101,0.366261398,0.349809886,0.306349206,0.335209003,0.353883106
65,11575,0.323671498,0.25698324,0.219230769,0.24120603,0.308623298,0.352941176,0.457668712,0.572241183,0.629283489,0.640851888,0.657521287,0.719030521,0.731455399,0.680265655,0.698412698,0.686180422
66,11576,0.18556701,0.102272727,0.087912088,0.113095238,0.161643836,0.182278481,0.221276596,0.25,0.283687943,0.289297659,0.344347826,0.414335664,0.375,0.34939759,0.392,0.349809886
67,11577,0.205607477,0.160621762,0.115384615,0.117486339,0.145985401,0.162046908,0.224532225,0.288321168,0.297101449,0.327338129,0.332723949,0.362101313,0.369369369,0.350272232,0.354014599,0.365248227
68,11579,0.098591549,0.057142857,0.076086957,0.092307692,0.08994709,0.121827411,0.117924528,0.174887892,0.210526316,0.213636364,0.25,0.347150259,0.320652174,0.251396648,0.342857143,0.322222222
