zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population_2015
11735,STANDARD,0,Farmingdale,"S Farmingdale, South Farmingdale","E Farmingdale, East Farmingdale",NY,Nassau County,America/New_York,"516,631",NA,US,40.73,-73.44,31420
11736,UNIQUE,1,Farmingdale,,Creative Mailing Service,NY,Nassau County,America/New_York,516,NA,US,40.73,-73.44,20
11737,STANDARD,0,Farmingdale,,,NY,Nassau County,America/New_York,"516,631",NA,US,40.73,-73.44,0
11738,STANDARD,0,Farmingville,,,NY,Suffolk County,America/New_York,631,NA,US,40.84,-73.04,16060
11739,PO BOX,0,Great River,,,NY,Suffolk County,America/New_York,631,NA,US,40.73,-73.16,1506
11740,STANDARD,0,Greenlawn,,,NY,Suffolk County,America/New_York,631,NA,US,40.86,-73.36,9040
11741,STANDARD,0,Holbrook,,,NY,Suffolk County,America/New_York,631,NA,US,40.79,-73.07,26800
11742,STANDARD,0,Holtsville,,,NY,Suffolk County,America/New_York,631,NA,US,40.81,-73.04,12710
11743,STANDARD,0,Huntington,"Halesite, Lloyd Harbor","Bay Hills, Baycrest, Beech Croft, Cold Spring Hills, Harbor Heights, Hunt, Huntington Bay, Knollwood Beach, Lloyd Neck, W Hills, West Hills, Wincoma",NY,Suffolk County,America/New_York,"516,631",NA,US,40.87,-73.4,40850
11746,STANDARD,0,Huntington Station,"Dix Hills, Huntingtn Sta","S Huntington, So Huntington, South Huntington",NY,Suffolk County,America/New_York,631,NA,US,40.84,-73.4,64640
11747,STANDARD,0,Melville,"Huntingtn Sta, Huntington Station",Dix Hills,NY,Suffolk County,America/New_York,631,NA,US,40.78,-73.41,20620
11749,STANDARD,0,Islandia,"Central Islip, Hauppauge, Ronkonkoma",,NY,Suffolk County,America/New_York,"516,631",NA,US,40.8,-73.17,3210
11750,UNIQUE,1,Huntington Station,"Huntingtn Sta, Melville",Abmps,NY,Suffolk County,America/New_York,631,NA,US,40.83,-73.37,0
11751,STANDARD,0,Islip,,"Bayberry Point, Islip Manor",NY,Suffolk County,America/New_York,631,NA,US,40.73,-73.21,13860
11752,STANDARD,0,Islip Terrace,,,NY,Suffolk County,America/New_York,631,NA,US,40.76,-73.17,9640
11753,STANDARD,0,Jericho,,Muttontown,NY,Nassau County,America/New_York,516,NA,US,40.78,-73.54,13670
11754,STANDARD,0,Kings Park,,San Remo,NY,Suffolk County,America/New_York,631,NA,US,40.89,-73.24,18020
11755,STANDARD,0,Lake Grove,,Lk Grove,NY,Suffolk County,America/New_York,631,NA,US,40.85,-73.11,11530
11756,STANDARD,0,Levittown,,"Island Trees, Plainedge",NY,Nassau County,America/New_York,516,NA,US,40.72,-73.51,42530
