,zip,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
30,11509,0.19230769230769232,0.0975609756097561,0.017543859649122806,0.014084507042253521,0.07142857142857142,0.047619047619047616,0.11267605633802817,0.19718309859154928,0.2698412698412698,0.18840579710144928,0.26666666666666666,0.2909090909090909,0.32608695652173914,0.29545454545454547
31,11510,0.24157303370786518,0.152,0.10412147505422993,0.1132420091324201,0.14913793103448275,0.19448818897637796,0.21525885558583105,0.29742233972240584,0.35700697526949904,0.395900064061499,0.43446920052424637,0.46190476190476193,0.48121387283236994,0.45197319434102756
32,11514,0.28846153846153844,0.19318181818181818,0.17391304347826086,0.128,0.1111111111111111,0.23076923076923078,0.20408163265306123,0.20261437908496732,0.22289156626506024,0.2808988764044944,0.3333333333333333,0.3076923076923077,0.2925531914893617,0.2774869109947644
33,11516,0.03488372093023256,0.047058823529411764,0.046610169491525424,0.05102040816326531,0.06796116504854369,0.09941520467836257,0.16201117318435754,0.16019417475728157,0.18385650224215247,0.21384928716904278,0.2504743833017078,0.301556420233463,0.3595505617977528,0.3269961977186312
34,11518,0.18248175182481752,0.10638297872340426,0.09119496855345911,0.09943181818181818,0.14325842696629212,0.17557251908396945,0.22033898305084745,0.2494061757719715,0.3277511961722488,0.34101382488479265,0.36428571428571427,0.3915094339622642,0.3506172839506173,0.29396325459317585
35,11520,0.37050359712230213,0.26006191950464397,0.23771152296535053,0.22987721691678034,0.2731893265565438,0.31235011990407674,0.3935309973045822,0.46871846619576185,0.5279211637728766,0.550545799715235,0.5950605778191985,0.6342031686859273,0.6239526860522425,0.5893939393939394
36,11530,0.15027322404371585,0.09940652818991098,0.0661764705882353,0.09134615384615384,0.10009442870632672,0.13636363636363635,0.13924050632911392,0.15808823529411764,0.1806633733239238,0.208,0.2548872180451128,0.28296067848882034,0.2852689010132502,0.2471819645732689
37,11531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,11535,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
39,11536,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,11542,0.15918367346938775,0.0876068376068376,0.08504398826979472,0.08795669824086604,0.11604938271604938,0.2881944444444444,0.31449893390191896,0.3304093567251462,0.3574833174451859,0.3916967509025271,0.4116022099447514,0.42162698412698413,0.41182266009852214,0.4225941422594142
